competition,stage,match_date,home_away,team,opponent,final_score,player_position,goal_minute,score_after_goal,goal_method,assist_player,season,goal_decade,is_home_goal,goal_minute_bucket
Saudi Pro League ,27,16/05/23,Away,Al-Nassr FC,Al-Tai FC,0:2,CF,52',0:1,Penalty,Not Applicable,2022/23,2020s,0,46-60
Saudi Pro League ,28,23/05/23,Home,Al-Nassr FC,Al-Shabab FC,3:2,CF,59',3:2,Right-footed shot,Luiz Gustavo,2022/23,2020s,1,46-60
Saudi Pro League ,3,25/08/23,Away,Al-Nassr FC,Al-Fateh SC,0:5,CF,38',0:2,Header,Sultan Al-Ghannam,2023/24,2020s,0,31-45
Saudi Pro League ,3,25/08/23,Away,Al-Nassr FC,Al-Fateh SC,0:5,CF,55',0:3,Left-footed shot,Abdulrahman Ghareeb,2023/24,2020s,0,46-60
Saudi Pro League ,3,25/08/23,Away,Al-Nassr FC,Al-Fateh SC,0:5,CF,90'+6,0:5,Left-footed shot,Nawaf Boushal,2023/24,2020s,0,76-90
Saudi Pro League ,4,29/08/23,Home,Al-Nassr FC,Al-Shabab FC,4:0,CF,13',1:0,Penalty,Not Applicable,2023/24,2020s,1,01-15
Saudi Pro League ,4,29/08/23,Home,Al-Nassr FC,Al-Shabab FC,4:0,CF,38',2:0,Penalty,Not Applicable,2023/24,2020s,1,31-45
Saudi Pro League ,5,02/09/23,Away,Al-Nassr FC,Al-Hazem SC,1:5,CF,68',1:4,Right-footed shot,Abdulrahman Ghareeb,2023/24,2020s,0,61-75
Saudi Pro League ,6,16/09/23,Away,Al-Nassr FC,Al-Raed SFC,1:3,CF,78',0:3,Left-footed shot,Talisca,2023/24,2020s,0,76-90
Saudi Pro League ,7,22/09/23,Home,Al-Nassr FC,Al-Ahli SFC,4:3,CF,4',1:0,Left-footed shot,Sadio Mané,2023/24,2020s,1,01-15
Saudi Pro League ,7,22/09/23,Home,Al-Nassr FC,Al-Ahli SFC,4:3,CF,52',4:2,Left-footed shot,Talisca,2023/24,2020s,1,46-60
Saudi Pro League ,8,29/09/23,Away,Al-Nassr FC,Al-Tai FC,1:2,CF,87',1:2,Penalty,Not Applicable,2023/24,2020s,0,76-90
AFC Champions League ,Group Stage,02/10/23,Home,Al-Nassr FC,Istiqlol Dushanbe,3:1,CF,66',1:1,Left-footed shot,Not Applicable,2023/24,2020s,1,61-75
Saudi Pro League ,10,21/10/23,Home,Al-Nassr FC,Damac FC,2:1,CF,56',2:1,Direct free kick,Not Applicable,2023/24,2020s,1,46-60
AFC Champions League ,Group Stage,24/10/23,Home,Al-Nassr FC,Al-Duhail SC,4:3,CF,61',3:0,Left-footed shot,Sultan Al-Ghannam,2023/24,2020s,1,61-75
AFC Champions League ,Group Stage,24/10/23,Home,Al-Nassr FC,Al-Duhail SC,4:3,CF,81',4:2,Left-footed shot,Sultan Al-Ghannam,2023/24,2020s,1,76-90
Saudi Pro League ,12,04/11/23,Home,Al-Nassr FC,Al-Khaleej FC,2:0,CF,26',1:0,Right-footed shot,Abdulrahman Ghareeb,2023/24,2020s,1,16-30
Saudi Pro League ,13,11/11/23,Away,Al-Nassr FC,Al-Wehda FC,1:3,CF,49',0:3,Right-footed shot,Not Applicable,2023/24,2020s,0,46-60
Saudi Pro League ,14,24/11/23,Home,Al-Nassr FC,Al-Okhdood Club,3:0,CF,77',2:0,Right-footed shot,Not Applicable,2023/24,2020s,1,76-90
Saudi Pro League ,14,24/11/23,Home,Al-Nassr FC,Al-Okhdood Club,3:0,CF,80',3:0,Right-footed shot,Not Applicable,2023/24,2020s,1,76-90
Saudi Pro League ,16,08/12/23,Home,Al-Nassr FC,Al-Riyadh SC,4:1,CF,31',1:0,Right-footed shot,Sadio Mané,2023/24,2020s,1,31-45
King's Cup ,Quarter-Finals,11/12/23,Away,Al-Nassr FC,Al-Shabab FC,2:5,CF,74',1:4,Right-footed shot,Otávio,2023/24,2020s,0,61-75
Saudi Pro League ,18,22/12/23,Home,Al-Nassr FC,Al-Ettifaq FC,3:1,CF,73',3:0,Penalty,Not Applicable,2023/24,2020s,1,61-75
Saudi Pro League ,17,26/12/23,Away,Al-Nassr FC,Al-Ittihad Club,2:5,CF,19',1:1,Penalty,Not Applicable,2023/24,2020s,0,16-30
Saudi Pro League ,17,26/12/23,Away,Al-Nassr FC,Al-Ittihad Club,2:5,CF,68',2:3,Penalty,Not Applicable,2023/24,2020s,0,61-75
Saudi Pro League ,19,30/12/23,Away,Al-Nassr FC,Al-Taawoun FC,1:4,CF,90'+2,1:4,Header,Seko Fofana,2023/24,2020s,0,76-90
AFC Champions League ,Round of 16,14/02/24,Away,Al-Nassr FC,Al-Fayha FC,0:1,CF,81',0:1,Right-footed shot,Marcelo Brozović,2023/24,2020s,0,76-90
Saudi Pro League ,20,17/02/24,Home,Al-Nassr FC,Al-Fateh SC,2:1,CF,17',1:0,Right-footed shot,Sultan Al-Ghannam,2023/24,2020s,1,16-30
AFC Champions League ,Round of 16,21/02/24,Home,Al-Nassr FC,Al-Fayha FC,2:0,CF,86',2:0,Right-footed shot,Not Applicable,2023/24,2020s,1,76-90
Saudi Pro League ,21,25/02/24,Away,Al-Nassr FC,Al-Shabab FC,2:3,CF,21',0:1,Penalty,Not Applicable,2023/24,2020s,0,16-30
AFC Champions League ,Quarter-Finals,11/03/24,Home,Al-Nassr FC,Al-Ain FC,5:6,CF,118',4:3,Penalty,Not Applicable,2023/24,2020s,1,90+
Saudi Pro League ,24,15/03/24,Away,Al-Nassr FC,Al-Ahli SFC,0:1,CF,68',0:1,Penalty,Not Applicable,2023/24,2020s,0,61-75
Saudi Pro League ,25,30/03/24,Home,Al-Nassr FC,Al-Tai FC,5:1,CF,64',3:1,Right-footed shot,Sadio Mané,2023/24,2020s,1,61-75
Saudi Pro League ,25,30/03/24,Home,Al-Nassr FC,Al-Tai FC,5:1,CF,67',4:1,Right-footed shot,Not Applicable,2023/24,2020s,1,61-75
Saudi Pro League ,25,30/03/24,Home,Al-Nassr FC,Al-Tai FC,5:1,CF,87',5:1,Header,Abdulmajeed Al-Sulayhim,2023/24,2020s,1,76-90
Saudi Pro League ,26,02/04/24,Away,Al-Nassr FC,Abha Club,0:8,CF,11',0:1,Direct free kick,Not Applicable,2023/24,2020s,0,01-15
Saudi Pro League ,26,02/04/24,Away,Al-Nassr FC,Abha Club,0:8,CF,21',0:2,Direct free kick,Not Applicable,2023/24,2020s,0,16-30
Saudi Pro League ,26,02/04/24,Away,Al-Nassr FC,Abha Club,0:8,CF,42',0:4,Right-footed shot,Not Applicable,2023/24,2020s,0,31-45
King's Cup ,Semi-Finals,01/05/24,Home,Al-Nassr FC,Al-Khaleej FC,3:1,CF,17',1:0,Left-footed shot,Ayman Yahya,2023/24,2020s,1,16-30
King's Cup ,Semi-Finals,01/05/24,Home,Al-Nassr FC,Al-Khaleej FC,3:1,CF,57',3:0,Left-footed shot,Ayman Yahya,2023/24,2020s,1,46-60
Saudi Pro League ,30,04/05/24,Home,Al-Nassr FC,Al-Wehda FC,6:0,CF,5',1:0,Right-footed shot,Not Applicable,2023/24,2020s,1,01-15
Saudi Pro League ,30,04/05/24,Home,Al-Nassr FC,Al-Wehda FC,6:0,CF,12',2:0,Header,Marcelo Brozović,2023/24,2020s,1,01-15
Saudi Pro League ,30,04/05/24,Home,Al-Nassr FC,Al-Wehda FC,6:0,CF,52',5:0,Left-footed shot,Sadio Mané,2023/24,2020s,1,46-60
Saudi Pro League ,31,09/05/24,Away,Al-Nassr FC,Al-Okhdood Club,2:3,CF,15',0:2,Right-footed shot,Ali Al-Hassan,2023/24,2020s,0,01-15
Saudi Pro League ,34,27/05/24,Home,Al-Nassr FC,Al-Ittihad Club,4:2,CF,45'+3,1:0,Left-footed shot,Mohammed Al-Fatil,2023/24,2020s,1,31-45
Saudi Pro League ,34,27/05/24,Home,Al-Nassr FC,Al-Ittihad Club,4:2,CF,69',2:0,Header,Marcelo Brozović,2023/24,2020s,1,61-75
Saudi Super Cup ,Semi-Finals,14/08/24,Away,Al-Nassr FC,Al-Taawoun FC,0:2,CF,57',0:2,Right-footed shot,Sultan Al-Ghannam,2024/25,2020s,0,46-60
Saudi Super Cup ,Final,17/08/24,Away,Al-Nassr FC,Al-Hilal SFC,4:1,CF,44',0:1,Right-footed shot,Abdulrahman Ghareeb,2024/25,2020s,0,31-45
Saudi Pro League ,1,22/08/24,Home,Al-Nassr FC,Al-Raed SFC,1:1,CF,34',1:0,Header,Sadio Mané,2024/25,2020s,1,31-45
Saudi Pro League ,2,27/08/24,Away,Al-Nassr FC,Al-Fayha FC,1:4,CF,45'+10,0:2,Direct free kick,Not Applicable,2024/25,2020s,0,31-45
Saudi Pro League ,4,20/09/24,Away,Al-Nassr FC,Al-Ettifaq FC,0:3,CF,33',0:1,Penalty,Not Applicable,2024/25,2020s,0,31-45
Saudi Pro League ,5,27/09/24,Home,Al-Nassr FC,Al-Wehda FC,2:0,CF,56',2:0,Penalty,Not Applicable,2024/25,2020s,1,46-60
AFC Champions League ,Group Stage,30/09/24,Home,Al-Nassr FC,Al-Rayyan SC,2:1,CF,76',2:0,Left-footed shot,Abdulrahman Ghareeb,2024/25,2020s,1,76-90
Saudi Pro League ,6,05/10/24,Home,Al-Nassr FC,Al-Orobah FC,3:0,CF,17',1:0,Penalty,Not Applicable,2024/25,2020s,1,16-30
Saudi Pro League ,7,18/10/24,Away,Al-Nassr FC,Al-Shabab FC,1:2,CF,90'+7,1:2,Penalty,Not Applicable,2024/25,2020s,0,76-90
AFC Champions League ,Group Stage,05/11/24,Home,Al-Nassr FC,Al-Ain FC,5:1,CF,31',2:0,Left-footed shot,Not Applicable,2024/25,2020s,1,31-45
Saudi Pro League ,11,22/11/24,Home,Al-Nassr FC,Al-Qadsiah FC,1:2,CF,32',1:0,Right-footed shot,Mohamed Simakan,2024/25,2020s,1,31-45
AFC Champions League ,Group Stage,25/11/24,Away,Al-Nassr FC,Al-Gharafa SC,1:3,CF,46',0:1,Header,Sultan Al-Ghannam,2024/25,2020s,0,46-60
AFC Champions League ,Group Stage,25/11/24,Away,Al-Nassr FC,Al-Gharafa SC,1:3,CF,64',0:3,Counter attack goal,Ângelo,2024/25,2020s,0,61-75
Saudi Pro League ,12,29/11/24,Home,Al-Nassr FC,Damac FC,2:0,CF,17',1:0,Penalty,Not Applicable,2024/25,2020s,1,16-30
Saudi Pro League ,12,29/11/24,Home,Al-Nassr FC,Damac FC,2:0,CF,79',2:0,Left-footed shot,Nawaf Boushal,2024/25,2020s,1,76-90
Saudi Pro League ,13,06/12/24,Away,Al-Nassr FC,Al-Ittihad Club,2:1,CF,57',1:1,Right-footed shot,Ângelo,2024/25,2020s,0,46-60
Saudi Pro League ,14,09/01/25,Home,Al-Nassr FC,Al-Okhdood Club,3:1,CF,42',2:1,Penalty,Not Applicable,2024/25,2020s,1,31-45
Saudi Pro League ,16,21/01/25,Away,Al-Nassr FC,Al-Khaleej FC,1:3,CF,65',0:1,Right-footed shot,Otávio,2024/25,2020s,0,61-75
Saudi Pro League ,16,21/01/25,Away,Al-Nassr FC,Al-Khaleej FC,1:3,CF,90'+8,1:3,Left-footed shot,Saad Haqawi,2024/25,2020s,0,76-90
Saudi Pro League ,17,26/01/25,Home,Al-Nassr FC,Al-Fateh SC,3:1,CF,87',3:1,Right-footed shot,Sadio Mané,2024/25,2020s,1,76-90
Saudi Pro League ,18,30/01/25,Away,Al-Nassr FC,Al-Raed SFC,1:2,CF,35',0:1,Right-footed shot,Marcelo Brozović,2024/25,2020s,0,31-45
AFC Champions League ,Group Stage,03/02/25,Home,Al-Nassr FC,Al-Wasl SC,4:0,CF,44',2:0,Penalty,Not Applicable,2024/25,2020s,1,31-45
AFC Champions League ,Group Stage,03/02/25,Home,Al-Nassr FC,Al-Wasl SC,4:0,CF,78',3:0,Header,Sadio Mané,2024/25,2020s,1,76-90
Saudi Pro League ,19,07/02/25,Home,Al-Nassr FC,Al-Fayha FC,3:0,CF,74',3:0,Counter attack goal,Nawaf Boushal,2024/25,2020s,1,61-75
Saudi Pro League ,22,25/02/25,Away,Al-Nassr FC,Al-Wehda FC,0:2,CF,48',0:1,Header,Ângelo,2024/25,2020s,0,46-60
Saudi Pro League ,24,07/03/25,Home,Al-Nassr FC,Al-Shabab FC,2:2,CF,45'+7,2:1,Right-footed shot,Not Applicable,2024/25,2020s,1,31-45
AFC Champions League ,Round of 16,10/03/25,Home,Al-Nassr FC,Esteghlal FC,3:0,CF,27',2:0,Penalty,Not Applicable,2024/25,2020s,1,16-30
Saudi Pro League ,25,14/03/25,Home,Al-Nassr FC,Al-Kholood Club,3:1,CF,4',1:0,Right-footed shot,Not Applicable,2024/25,2020s,1,01-15
Saudi Pro League ,26,04/04/25,Away,Al-Nassr FC,Al-Hilal SFC,1:3,CF,47',0:2,Left-footed shot,Sadio Mané,2024/25,2020s,0,46-60
Saudi Pro League ,26,04/04/25,Away,Al-Nassr FC,Al-Hilal SFC,1:3,CF,88',1:3,Penalty,Not Applicable,2024/25,2020s,0,76-90
Saudi Pro League ,27,12/04/25,Home,Al-Nassr FC,Al-Riyadh SC,2:1,CF,56',1:1,Right-footed shot,Sadio Mané,2024/25,2020s,1,46-60
Saudi Pro League ,27,12/04/25,Home,Al-Nassr FC,Al-Riyadh SC,2:1,CF,64',2:1,Right-footed shot,Not Applicable,2024/25,2020s,1,61-75
AFC Champions League ,Quarter-Finals,26/04/25,Away,Al-Nassr FC,Yokohama F. Marinos,1:4,CF,38',0:3,Right-footed shot,Not Applicable,2024/25,2020s,0,31-45
Saudi Pro League ,33,21/05/25,Home,Al-Nassr FC,Al-Khaleej FC,2:0,CF,90'+7,2:0,Penalty,Not Applicable,2024/25,2020s,1,76-90
Saudi Pro League ,34,26/05/25,Away,Al-Nassr FC,Al-Fateh SC,3:2,CF,42',0:1,Header,Mohammed Al-Fatil,2024/25,2020s,0,31-45
Saudi Super Cup ,Final,23/08/25,Home,Al-Nassr FC,Al-Ahli SFC,5:7,CF,41',1:0,Penalty,Not Applicable,2025/26,2020s,1,31-45
Saudi Pro League ,1,29/08/25,Away,Al-Nassr FC,Al-Taawoun FC,0:5,CF,54',0:2,Penalty,Not Applicable,2025/26,2020s,0,46-60
Saudi Pro League ,3,20/09/25,Home,Al-Nassr FC,Al-Riyadh SC,5:1,CF,33',3:0,Right-footed shot,João Félix,2025/26,2020s,1,31-45
Saudi Pro League ,3,20/09/25,Home,Al-Nassr FC,Al-Riyadh SC,5:1,CF,76',5:1,Left-footed shot,Kingsley Coman,2025/26,2020s,1,76-90
Saudi Pro League ,4,26/09/25,Away,Al-Nassr FC,Al-Ittihad Club,0:2,CF,35',0:2,Header,Sadio Mané,2025/26,2020s,0,31-45
Saudi Pro League ,5,18/10/25,Home,Al-Nassr FC,Al-Fateh SC,5:1,CF,60',2:1,Right-footed shot,Sadio Mané,2025/26,2020s,1,46-60
Saudi Pro League ,6,25/10/25,Away,Al-Nassr FC,Al-Hazem SC,0:2,CF,88',0:2,Left-footed shot,Wesley,2025/26,2020s,0,76-90
Saudi Pro League ,7,01/11/25,Home,Al-Nassr FC,Al-Fayha FC,2:1,CF,37',1:1,Right-footed shot,Kingsley Coman,2025/26,2020s,1,31-45
Saudi Pro League ,7,01/11/25,Home,Al-Nassr FC,Al-Fayha FC,2:1,CF,90'+14,2:1,Penalty,Not Applicable,2025/26,2020s,1,76-90
Saudi Pro League ,8,08/11/25,Away,Al-Nassr FC,NEOM SC,1:3,CF,65',0:2,Penalty,Not Applicable,2025/26,2020s,0,61-75
Saudi Pro League ,9,23/11/25,Home,Al-Nassr FC,Al-Khaleej FC,4:1,CF,90'+6,4:1,Counter attack goal,Nawaf Boushal,2025/26,2020s,1,76-90
Saudi Pro League ,11,27/12/25,Home,Al-Nassr FC,Al-Okhdood Club,3:0,CF,31',1:0,Right-footed shot,Abdulelah Al-Amri,2025/26,2020s,1,31-45
Saudi Pro League ,11,27/12/25,Home,Al-Nassr FC,Al-Okhdood Club,3:0,CF,45'+3,2:0,Right-footed shot,Marcelo Brozović,2025/26,2020s,1,31-45
Saudi Pro League ,12,30/12/25,Away,Al-Nassr FC,Al-Ettifaq FC,2:2,CF,67',1:2,Not reported,João Félix,2025/26,2020s,0,61-75
Saudi Pro League ,14,08/01/26,Home,Al-Nassr FC,Al-Qadsiah FC,1:2,CF,81',1:2,Penalty,Not Applicable,2025/26,2020s,1,76-90
Saudi Pro League ,15,12/01/26,Away,Al-Nassr FC,Al-Hilal SFC,3:1,CF,42',0:1,Right-footed shot,Kingsley Coman,2025/26,2020s,0,31-45
Saudi Pro League ,17,21/01/26,Away,Al-Nassr FC,Damac FC,1:2,CF,50',0:2,Right-footed shot,João Félix,2025/26,2020s,0,46-60
Saudi Pro League ,19,30/01/26,Away,Al-Nassr FC,Al-Kholood Club,0:3,CF,47',0:1,Right-footed shot,João Félix,2025/26,2020s,0,46-60
Saudi Pro League ,22,14/02/26,Away,Al-Nassr FC,Al-Fateh SC,0:2,CF,18',0:1,Right-footed shot,Sadio Mané,2025/26,2020s,0,16-30
Saudi Pro League ,23,21/02/26,Home,Al-Nassr FC,Al-Hazem SC,4:0,CF,13',1:0,Left-footed shot,Kingsley Coman,2025/26,2020s,1,01-15
Saudi Pro League ,23,21/02/26,Home,Al-Nassr FC,Al-Hazem SC,4:0,CF,79',4:0,Left-footed shot,Kingsley Coman,2025/26,2020s,1,76-90
Saudi Pro League ,10,25/02/26,Away,Al-Nassr FC,Al-Najma SC,0:5,CF,7',0:1,Penalty,Not Applicable,2025/26,2020s,0,01-15
