competition,stage,match_date,home_away,team,opponent,final_score,player_position,goal_minute,score_after_goal,goal_method,assist_player,season,goal_decade,is_home_goal,goal_minute_bucket
LaLiga ,13,05/12/09,Home,Real Madrid,UD Almería,4:2,CF,84',4:2,Right-footed shot,Gonzalo Higuaín,2009/10,2000s,1,76-90
UEFA Champions League ,Group Stage,08/12/09,Away,Real Madrid,Olympique Marseille,1:3,CF,5',0:1,Direct free kick,Not Applicable,2009/10,2000s,0,01-15
UEFA Champions League ,Group Stage,08/12/09,Away,Real Madrid,Olympique Marseille,1:3,CF,80',1:3,Right-footed shot,Lassana Diarra,2009/10,2000s,0,76-90
LaLiga ,15,19/12/09,Home,Real Madrid,Real Zaragoza,6:0,CF,50',5:0,Left-footed shot,Ezequiel Garay,2009/10,2000s,1,46-60
LaLiga ,19,24/01/10,Home,Real Madrid,Málaga CF,2:0,CF,35',1:0,Right-footed shot,Kaká,2009/10,2010s,1,31-45
LaLiga ,19,24/01/10,Home,Real Madrid,Málaga CF,2:0,CF,39',2:0,Right-footed shot,Guti,2009/10,2010s,1,31-45
LaLiga ,22,13/02/10,Away,Real Madrid,Xerez CD,0:3,CF,69',0:2,Header,Kaká,2009/10,2010s,0,61-75
LaLiga ,22,13/02/10,Away,Real Madrid,Xerez CD,0:3,CF,71',0:3,Left-footed shot,Kaká,2009/10,2010s,0,61-75
LaLiga ,23,21/02/10,Home,Real Madrid,Villarreal CF,6:2,CF,18',1:0,Direct free kick,Not Applicable,2009/10,2010s,1,16-30
LaLiga ,24,27/02/10,Away,Real Madrid,CD Tenerife,1:5,CF,78',1:4,Penalty,Not Applicable,2009/10,2010s,0,76-90
LaLiga ,25,06/03/10,Home,Real Madrid,Sevilla FC,3:2,CF,59',1:2,Left-footed shot,Not Applicable,2009/10,2010s,1,46-60
UEFA Champions League ,Round of 16,10/03/10,Home,Real Madrid,Olympique Lyon,1:1,LW,6',1:0,Left-footed shot,Guti,2009/10,2010s,1,01-15
LaLiga ,26,14/03/10,Away,Real Madrid,Real Valladolid CF,1:4,CF,29',0:1,Direct free kick,Not Applicable,2009/10,2010s,0,16-30
LaLiga ,28,25/03/10,Away,Real Madrid,Getafe CF,2:4,CF,13',0:1,Direct free kick,Not Applicable,2009/10,2010s,0,01-15
LaLiga ,28,25/03/10,Away,Real Madrid,Getafe CF,2:4,CF,36',0:4,Right-footed shot,Not Applicable,2009/10,2010s,0,31-45
LaLiga ,30,04/04/10,Away,Real Madrid,Racing Santander,0:2,CF,23',0:1,Penalty,Not Applicable,2009/10,2010s,0,16-30
LaLiga ,32,15/04/10,Away,Real Madrid,UD Almería,1:2,CF,26',1:1,Left-footed shot,Not Applicable,2009/10,2010s,0,16-30
LaLiga ,33,18/04/10,Home,Real Madrid,Valencia CF,2:0,CF,77',2:0,Right-footed shot,Marcelo,2009/10,2010s,1,76-90
LaLiga ,35,02/05/10,Home,Real Madrid,CA Osasuna,3:2,CF,25',1:1,Right-footed shot,Not Applicable,2009/10,2010s,1,16-30
LaLiga ,35,02/05/10,Home,Real Madrid,CA Osasuna,3:2,CF,89',3:2,Header,Gonzalo Higuaín,2009/10,2010s,1,76-90
LaLiga ,36,05/05/10,Away,Real Madrid,RCD Mallorca,1:4,CF,26',1:1,Right-footed shot,Sergio Ramos,2009/10,2010s,0,16-30
LaLiga ,36,05/05/10,Away,Real Madrid,RCD Mallorca,1:4,CF,56',1:2,Right-footed shot,Sergio Ramos,2009/10,2010s,0,46-60
LaLiga ,36,05/05/10,Away,Real Madrid,RCD Mallorca,1:4,CF,71',1:3,Right-footed shot,Not Applicable,2009/10,2010s,0,61-75
LaLiga ,37,08/05/10,Home,Real Madrid,Athletic Bilbao,5:1,CF,21',1:0,Penalty,Not Applicable,2009/10,2010s,1,16-30
LaLiga ,4,21/09/10,Home,Real Madrid,RCD Espanyol Barcelona,3:0,LW,28',1:0,Penalty,Not Applicable,2010/11,2010s,1,16-30
LaLiga ,6,03/10/10,Home,Real Madrid,Deportivo de La Coruña,6:1,LW,4',1:0,Header,Mesut Özil,2010/11,2010s,1,01-15
LaLiga ,6,03/10/10,Home,Real Madrid,Deportivo de La Coruña,6:1,LW,89',6:1,Left-footed shot,Xabi Alonso,2010/11,2010s,1,76-90
LaLiga ,7,16/10/10,Away,Real Madrid,Málaga CF,1:4,LW,45',0:2,Right-footed shot,Mesut Özil,2010/11,2010s,0,31-45
LaLiga ,7,16/10/10,Away,Real Madrid,Málaga CF,1:4,LW,50',0:3,Penalty,Not Applicable,2010/11,2010s,0,46-60
UEFA Champions League ,Group Stage,19/10/10,Home,Real Madrid,AC Milan,2:0,LW,13',1:0,Direct free kick,Not Applicable,2010/11,2010s,1,01-15
LaLiga ,8,23/10/10,Home,Real Madrid,Racing Santander,6:1,LW,15',2:0,Right-footed shot,Gonzalo Higuaín,2010/11,2010s,1,01-15
LaLiga ,8,23/10/10,Home,Real Madrid,Racing Santander,6:1,LW,26',3:0,Left-footed shot,Mesut Özil,2010/11,2010s,1,16-30
LaLiga ,8,23/10/10,Home,Real Madrid,Racing Santander,6:1,LW,47',4:0,Right-footed shot,Ángel Di María,2010/11,2010s,1,46-60
LaLiga ,8,23/10/10,Home,Real Madrid,Racing Santander,6:1,LW,55',5:0,Penalty,Not Applicable,2010/11,2010s,1,46-60
LaLiga ,9,30/10/10,Away,Real Madrid,Hércules CF,1:3,LW,82',1:2,Right-footed shot,Not Applicable,2010/11,2010s,0,76-90
LaLiga ,9,30/10/10,Away,Real Madrid,Hércules CF,1:3,LW,86',1:3,Right-footed shot,Karim Benzema,2010/11,2010s,0,76-90
Copa del Rey ,Fourth Round,10/11/10,Home,Real Madrid,Real Murcia CF,5:1,LW,76',3:0,Left-footed shot,Ángel Di María,2010/11,2010s,1,76-90
LaLiga ,12,20/11/10,Home,Real Madrid,Athletic Bilbao,5:1,LW,30',2:0,Left-footed shot,Mesut Özil,2010/11,2010s,1,16-30
LaLiga ,12,20/11/10,Home,Real Madrid,Athletic Bilbao,5:1,LW,62',4:1,Direct free kick,Not Applicable,2010/11,2010s,1,61-75
LaLiga ,12,20/11/10,Home,Real Madrid,Athletic Bilbao,5:1,LW,90'+1,5:1,Penalty,Not Applicable,2010/11,2010s,1,76-90
UEFA Champions League ,Group Stage,23/11/10,Away,Real Madrid,Ajax Amsterdam,0:4,LW,70',0:3,Left-footed shot,Ángel Di María,2010/11,2010s,0,61-75
UEFA Champions League ,Group Stage,23/11/10,Away,Real Madrid,Ajax Amsterdam,0:4,LW,81',0:4,Penalty,Not Applicable,2010/11,2010s,0,76-90
LaLiga ,14,04/12/10,Home,Real Madrid,Valencia CF,2:0,CF,72',1:0,Left-footed shot,Mesut Özil,2010/11,2010s,1,61-75
LaLiga ,14,04/12/10,Home,Real Madrid,Valencia CF,2:0,CF,86',2:0,Right-footed shot,Not Applicable,2010/11,2010s,1,76-90
UEFA Champions League ,Group Stage,08/12/10,Home,Real Madrid,AJ Auxerre,4:0,LW,49',2:0,Right-footed shot,Marcelo,2010/11,2010s,1,46-60
LaLiga ,15,12/12/10,Away,Real Madrid,Real Zaragoza,1:3,LW,43',0:2,Direct free kick,Not Applicable,2010/11,2010s,0,31-45
